y_true,y_pred_main_model,y_prob_main_model,y_pred_hyper_classifier,y_prob_hyper_classifier,y_pred_meta_classifier,y_prob_meta_classifier
True,1,0.8886484,1,0.9984647,1,0.991932
False,0,0.03144383,0,0.0014888997,0,0.0050654914
True,1,0.68607813,0,0.13296498,0,0.32971197
True,1,0.9730977,1,0.99732625,1,0.99456763
True,0,0.31711456,1,0.9762877,1,0.9360862
False,0,0.3966211,0,0.0014888997,0,0.0064683943
True,1,0.97312635,1,0.9984647,1,0.99456763
False,1,0.6102235,0,0.0014888997,0,0.007878492
False,0,0.14612055,0,0.0014888997,0,0.0050654914
False,0,0.22835037,0,0.0016023163,0,0.0050654914
False,0,0.061974026,0,0.0019739198,0,0.0050654914
False,0,0.103159636,0,0.0014888997,0,0.0050654914
False,0,0.049920436,0,0.0014888997,0,0.0050654914
True,1,0.9235122,1,0.99562526,1,0.992192
False,0,0.3251189,0,0.027462712,0,0.010296544
False,0,0.06696469,0,0.0014888997,0,0.0050654914
True,1,0.96165735,1,0.9984862,1,0.99456763
True,1,0.7429721,1,0.84502697,1,0.87392986
False,0,0.01846561,0,0.0016023163,0,0.0050654914
False,0,0.030147552,0,0.002465418,0,0.0050654914
True,1,0.97833633,1,0.9984647,1,0.99456763
True,1,0.8721403,1,0.9984647,1,0.991932
False,0,0.3541375,0,0.0014888997,0,0.0064683943
True,1,0.9749211,1,0.9984199,1,0.99456763
False,0,0.10612032,0,0.0016023163,0,0.0050654914
False,0,0.07203675,0,0.0014888997,0,0.0050654914
False,0,0.086883396,0,0.0014888997,0,0.0050654914
True,1,0.9504739,1,0.9984862,1,0.99456763
False,1,0.5222634,0,0.0014888997,0,0.007878492
False,0,0.11864939,0,0.0014888997,0,0.0050654914
False,0,0.047619857,0,0.0019739198,0,0.0050654914
False,0,0.05860476,0,0.0029080869,0,0.0050654914
False,0,0.032354467,0,0.0019947924,0,0.0050654914
False,0,0.05388717,0,0.0016023163,0,0.0050654914
False,0,0.020703057,0,0.004208192,0,0.0050654914
True,1,0.9401485,1,0.99740183,1,0.99449486
False,0,0.028636277,0,0.0014888997,0,0.0050654914
True,1,0.92590874,1,0.9984862,1,0.99246407
True,1,0.92577636,1,0.931095,1,0.94798464
True,1,0.9741883,1,0.99280566,1,0.994371
True,1,0.9768092,1,0.9755145,1,0.9646399
False,0,0.4733678,0,0.0014888997,0,0.007878492
True,1,0.97253835,1,0.9256225,1,0.9626924
True,1,0.9800536,1,0.9915325,1,0.994371
